File,Line,Severity,ID,Message,Verbose,CWE,Column,Info,Symbol
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,8,information,missingIncludeSystem,Include file: <winrt/Windows.Foundation.Collections.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt/Windows.Foundation.Collections.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,9,information,missingIncludeSystem,Include file: <winrt/Windows.ApplicationModel.Activation.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt/Windows.ApplicationModel.Activation.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,10,information,missingIncludeSystem,Include file: <winrt/Windows.UI.Xaml.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt/Windows.UI.Xaml.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,11,information,missingIncludeSystem,Include file: <winrt/Windows.UI.Xaml.Controls.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt/Windows.UI.Xaml.Controls.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,12,information,missingIncludeSystem,Include file: <winrt/Windows.UI.Xaml.Controls.Primitives.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt/Windows.UI.Xaml.Controls.Primitives.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,13,information,missingIncludeSystem,Include file: <winrt/Windows.UI.Xaml.Data.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt/Windows.UI.Xaml.Data.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,14,information,missingIncludeSystem,Include file: <winrt/Windows.UI.Xaml.Interop.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt/Windows.UI.Xaml.Interop.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,15,information,missingIncludeSystem,Include file: <winrt/Windows.UI.Xaml.Markup.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt/Windows.UI.Xaml.Markup.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,16,information,missingIncludeSystem,Include file: <winrt/Windows.UI.Xaml.Navigation.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt/Windows.UI.Xaml.Navigation.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/pch.h,18,information,missingIncludeSystem,Include file: <sstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <sstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/App.h,4,information,missingInclude,"Include file: ""App.xaml.g.h"" not found.","Include file: ""App.xaml.g.h"" not found.",,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/InstallingPackageView.h,4,information,missingInclude,"Include file: ""InstallingPackageView.g.h"" not found.","Include file: ""InstallingPackageView.g.h"" not found.",,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/MainPage.h,6,information,missingIncludeSystem,Include file: <winrt\Microsoft.Management.Deployment.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt\Microsoft.Management.Deployment.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/MainPage.h,8,information,missingInclude,"Include file: ""MainPage.g.h"" not found.","Include file: ""MainPage.g.h"" not found.",,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/InstallingPackageView.cpp,5,information,missingInclude,"Include file: ""InstallingPackageView.g.cpp"" not found.","Include file: ""InstallingPackageView.g.cpp"" not found.",,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/InstallingPackageView.cpp,6,information,missingIncludeSystem,Include file: <winrt/Windows.UI.Core.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winrt/Windows.UI.Core.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/InstallingPackageView.cpp,10,style,functionConst,"Either there is a missing 'override', or the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::Package' can be const.","Unless it overrides a base class member, the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::Package' can be made a const function. Making this function 'const' should not cause compiler errors. Even though the function can be made const function technically it may not make sense conceptually. Think about your design and the task of the function first - is it a function that must not change object internal state?",398,85,,winrt::AppInstallerCaller::implementation::InstallingPackageView::Package
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/InstallingPackageView.h,14,style,functionConst,"Either there is a missing 'override', or the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::Package' can be const.","Unless it overrides a base class member, the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::Package' can be made a const function. Making this function 'const' should not cause compiler errors. Even though the function can be made const function technically it may not make sense conceptually. Think about your design and the task of the function first - is it a function that must not change object internal state?",398,66,,winrt::AppInstallerCaller::implementation::InstallingPackageView::Package
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/InstallingPackageView.cpp,20,style,functionConst,"Either there is a missing 'override', or the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::AsyncOperation' can be const.","Unless it overrides a base class member, the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::AsyncOperation' can be made a const function. Making this function 'const' should not cause compiler errors. Even though the function can be made const function technically it may not make sense conceptually. Think about your design and the task of the function first - is it a function that must not change object internal state?",398,68,,winrt::AppInstallerCaller::implementation::InstallingPackageView::AsyncOperation
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/InstallingPackageView.h,16,style,functionConst,"Either there is a missing 'override', or the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::AsyncOperation' can be const.","Unless it overrides a base class member, the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::AsyncOperation' can be made a const function. Making this function 'const' should not cause compiler errors. Even though the function can be made const function technically it may not make sense conceptually. Think about your design and the task of the function first - is it a function that must not change object internal state?",398,26,,winrt::AppInstallerCaller::implementation::InstallingPackageView::AsyncOperation
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/InstallingPackageView.cpp,44,style,functionConst,"Either there is a missing 'override', or the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::Progress' can be const.","Unless it overrides a base class member, the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::Progress' can be made a const function. Making this function 'const' should not cause compiler errors. Even though the function can be made const function technically it may not make sense conceptually. Think about your design and the task of the function first - is it a function that must not change object internal state?",398,35,,winrt::AppInstallerCaller::implementation::InstallingPackageView::Progress
winget-cli/tools/SampleWinGetUWPCaller/AppInstallerCaller/InstallingPackageView.h,18,style,functionConst,"Either there is a missing 'override', or the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::Progress' can be const.","Unless it overrides a base class member, the member function 'winrt::AppInstallerCaller::implementation::InstallingPackageView::Progress' can be made a const function. Making this function 'const' should not cause compiler errors. Even though the function can be made const function technically it may not make sense conceptually. Think about your design and the task of the function first - is it a function that must not change object internal state?",398,16,,winrt::AppInstallerCaller::implementation::InstallingPackageView::Progress
